year,name,hud_code,pha_entity,address,city,zip,latitude,longitude,total_units,pct_occupied,people_per_unit,people_total,pct_reported,months_since_report,pct_movein,months_from_movein,months_waiting,hh_income,rent_per_month,pct_lt30_median,pct_female_head,pct_female_head_child,pct_disabled_all,pct_age62plus,pct_minority,pct_black_nonhsp,pct_hispanic,pct_overhoused
2015,EAST RIVER,NY005010090,NY New York NY005010090 EAST RIVER,2029 2nd Ave,New York,10029,40.789603,,2072.0,98.0,2.2,4498.0,99.0,4.0,5.0,205.0,,21416.0,475.0,68.0,72.0,28.0,25.0,42.0,96.0,34.0,54.0,20.0
2015,KINGSBOROUGH,NY005010100,NY New York NY005010100 KINGSBOROUGH,447 Kingsborough 4th Walk,Brooklyn,11233,40.675565,,1336.0,99.0,2.0,2689.0,100.0,5.0,3.0,157.0,,20389.0,443.0,70.0,79.0,36.0,23.0,33.0,98.0,78.0,19.0,9.0
2015,WEST BRIGHTON I & II,NY005010130,NY New York NY005010130 WEST BRIGHTON I & II,820 Henderson Ave,Staten Island,10310,40.636479,,633.0,89.0,2.7,1495.0,100.0,4.0,5.0,130.0,,20264.0,472.0,70.0,82.0,45.0,20.0,27.0,90.0,54.0,33.0,18.0
2015,JACOB RIIS,NY005010180,NY New York NY005010180 JACOB RIIS,1141 FDR Dr,New York,10009,40.717688,,1762.0,99.0,2.3,4008.0,100.0,5.0,3.0,289.0,,23234.0,506.0,64.0,75.0,26.0,21.0,41.0,98.0,21.0,64.0,36.0
2015,AMSTERDAM,NY005010220,NY New York NY005010220 AMSTERDAM,530 W 55th St,New York,10019,40.768195,,1457.0,99.0,2.0,2923.0,99.0,4.0,3.0,290.0,,25720.0,534.0,61.0,73.0,21.0,23.0,51.0,94.0,36.0,50.0,35.0
2015,MELROSE,NY005010280,NY New York NY005010280 MELROSE,320 E 156th St,Bronx,10451,40.821324,,1241.0,99.0,2.3,2873.0,100.0,5.0,3.0,227.0,,19399.0,440.0,72.0,78.0,30.0,22.0,40.0,99.0,33.0,65.0,31.0
2015,KING TOWERS,NY005010300,NY New York NY005010300 KING TOWERS,1370 5th Ave,New York,10026,40.799003,,1553.0,95.0,2.3,3250.0,97.0,5.0,3.0,283.0,,24147.0,510.0,63.0,79.0,28.0,21.0,36.0,99.0,64.0,31.0,36.0
2015,ALBANY I & II,NY005010310,NY New York NY005010310 ALBANY I & II,1191 Park Pl,Brooklyn,11213,40.672925,,1476.0,99.0,2.6,3761.0,100.0,5.0,3.0,210.0,,21594.0,487.0,68.0,81.0,38.0,17.0,28.0,98.0,75.0,21.0,26.0
2015,BRONX RIVER & ADDITION,NY005010320,NY New York NY005010320 BRONX RIVER & ADDITION,1350 Manor Ave,Bronx,10472,40.832579,,1552.0,99.0,2.3,3464.0,100.0,5.0,4.0,202.0,,20521.0,465.0,69.0,76.0,30.0,24.0,41.0,98.0,33.0,65.0,26.0
2015,EASTCHESTER GARDENS,NY005010340,NY New York NY005010340 EASTCHESTER GARDENS,3033 Middletown Rd,Bronx,10461,40.844457,,1054.0,99.0,2.2,2234.0,99.0,5.0,3.0,221.0,,22435.0,494.0,64.0,79.0,29.0,25.0,44.0,96.0,44.0,52.0,31.0
2015,SOUTH BEACH,NY005010350,NY New York NY005010350 SOUTH BEACH,70 New Ln,Staten Island,10305,40.612605,,697.0,99.0,1.8,1265.0,100.0,4.0,5.0,168.0,,17720.0,393.0,75.0,76.0,21.0,34.0,57.0,55.0,22.0,27.0,22.0
2015,NOSTRAND,NY005010360,NY New York NY005010360 NOSTRAND,2263 Batchelder St,Brooklyn,11229,40.597321,,2200.0,99.0,2.2,4749.0,99.0,4.0,4.0,201.0,,22761.0,491.0,66.0,78.0,32.0,22.0,32.0,81.0,51.0,22.0,28.0
2015,PELHAM PARKWAY,NY005010390,NY New York NY005010390 PELHAM PARKWAY,2440 Boston Rd,Bronx,10467,40.862386,,1497.0,99.0,1.9,2824.0,100.0,5.0,5.0,183.0,,23861.0,502.0,60.0,78.0,26.0,30.0,44.0,93.0,36.0,56.0,21.0
2015,SEDGEWICK,NY005010450,NY New York NY005010450 SEDGEWICK,228 W Tremont Ave,Bronx,10453,40.852713,,932.0,99.0,1.8,1651.0,99.0,5.0,3.0,214.0,,18489.0,414.0,73.0,75.0,22.0,27.0,51.0,98.0,36.0,59.0,22.0
2015,BELMONT SUTTER AREA,NY005010460,NY New York NY005010460 BELMONT SUTTER AREA,455 Barbey St,Brooklyn,11207,40.671617,,72.0,99.0,2.7,184.0,96.0,5.0,3.0,156.0,,23728.0,508.0,68.0,90.0,44.0,13.0,13.0,100.0,65.0,32.0,16.0
2015,PARKSIDE,NY005010470,NY New York NY005010470 PARKSIDE,712 E Gun Hill Rd,Bronx,10467,40.877116,,1610.0,99.0,2.0,3156.0,99.0,5.0,4.0,203.0,,23019.0,493.0,62.0,79.0,32.0,31.0,33.0,98.0,48.0,50.0,23.0
2015,BARUCH,NY005010600,NY New York NY005010600 BARUCH,72 Columbia St Apt,New York,10002,40.717174,,2391.0,99.0,2.2,5257.0,99.0,5.0,3.0,264.0,,24026.0,509.0,64.0,70.0,23.0,24.0,46.0,95.0,18.0,62.0,28.0
2015,GEORGE WASHINGTON,NY005010620,NY New York NY005010620 GEORGE WASHINGTON,110 E 99th St,New York,10029,40.78797,,1960.0,99.0,2.2,4288.0,100.0,5.0,4.0,263.0,,24943.0,529.0,60.0,76.0,29.0,22.0,38.0,98.0,31.0,56.0,29.0
2015,THROGGS NECK,NY005010630,NY New York NY005010630 THROGGS NECK,560 Balcom Ave,Bronx,10465,40.821302,,1720.0,99.0,2.2,3647.0,99.0,5.0,4.0,201.0,,22581.0,494.0,65.0,80.0,33.0,23.0,40.0,97.0,36.0,61.0,23.0
2015,JEFFERSON,NY005010640,NY New York NY005010640 JEFFERSON,306 E 117th St,New York,10035,40.797472,,1725.0,99.0,2.2,3767.0,100.0,4.0,3.0,251.0,,22755.0,493.0,65.0,77.0,28.0,27.0,41.0,98.0,29.0,65.0,28.0
2015,JUSTICE SONIA SOTOMAYOR HOUSES,NY005010670,NY New York NY005010670 JUSTICE SONIA SOTOMAYOR HOUSES,2125 Glebe Ave,Bronx,10462,40.835042,,1723.0,99.0,2.2,3677.0,98.0,5.0,3.0,220.0,,21500.0,476.0,67.0,81.0,29.0,23.0,39.0,99.0,38.0,60.0,27.0
2015,CYPRESS HILLS,NY005010700,NY New York NY005010700 CYPRESS HILLS,1230 Sutter Ave,Brooklyn,11208,40.672551,,1508.0,99.0,2.5,3649.0,100.0,4.0,4.0,202.0,,20845.0,474.0,68.0,81.0,36.0,19.0,29.0,99.0,55.0,43.0,26.0
2015,SUMNER,NY005010730,NY New York NY005010730 SUMNER,303 Vernon Ave,Brooklyn,11206,40.6959,,1417.0,99.0,2.2,3100.0,100.0,4.0,4.0,253.0,,23526.0,508.0,63.0,79.0,30.0,24.0,36.0,98.0,49.0,47.0,31.0
2015,SEN. ROBERT F. WAGNER SR.,NY005010740,NY New York NY005010740 SEN. ROBERT F. WAGNER SR.,20 Paladino Ave,New York,10035,40.800433,,2156.0,99.0,2.3,4984.0,99.0,4.0,3.0,255.0,,22709.0,501.0,65.0,80.0,32.0,22.0,34.0,98.0,45.0,50.0,31.0
2015,HAMMEL,NY005010750,NY New York NY005010750 HAMMEL,7115 Beach Channel Dr,Queens,11692,40.591825,,880.0,98.0,2.5,2189.0,100.0,5.0,8.0,162.0,,18379.0,423.0,75.0,83.0,43.0,18.0,23.0,95.0,63.0,30.0,20.0
2015,LA GUARDIA,NY005010760,NY New York NY005010760 LA GUARDIA,286 South St,Manhattan,10002,40.710664,,1491.0,99.0,2.3,3315.0,100.0,5.0,2.0,269.0,,24453.0,515.0,65.0,66.0,20.0,24.0,52.0,97.0,17.0,49.0,28.0
2015,MANHATTANVILLE GROUP III,NY005010810,NY New York NY005010810 MANHATTANVILLE GROUP III,529 W 133rd St,New York,10027,40.818207,,97.0,99.0,2.1,197.0,99.0,4.0,4.0,191.0,,27266.0,442.0,74.0,75.0,31.0,28.0,39.0,96.0,26.0,66.0,13.0
2015,FREDERICK DOUGLASS & ADD.,NY005010820,NY New York NY005010820 FREDERICK DOUGLASS & ADD.,870 Columbus Ave,New York,10025,40.797166,,2349.0,99.0,2.1,4844.0,99.0,4.0,3.0,270.0,,24798.0,527.0,60.0,74.0,24.0,23.0,41.0,97.0,40.0,54.0,34.0
2015,MILL BROOK & EXTENSION,NY005010840,NY New York NY005010840 MILL BROOK & EXTENSION,600 E 137th St,Bronx,10454,40.805433,,1451.0,99.0,2.4,3329.0,98.0,6.0,3.0,236.0,,19523.0,444.0,73.0,79.0,36.0,21.0,31.0,99.0,35.0,64.0,31.0
2015,HYLAN,NY005010860,NY New York NY005010860 HYLAN,131 Moore St,Brooklyn,11206,40.704155,,209.0,98.0,2.3,460.0,100.0,4.0,3.0,239.0,,25440.0,546.0,55.0,87.0,32.0,21.0,42.0,100.0,39.0,60.0,23.0
2015,BAISLEY PARK,NY005010910,NY New York NY005010910 BAISLEY PARK,9233 170th St,Queens,11433,40.706082,,893.0,99.0,1.7,1517.0,100.0,5.0,4.0,163.0,,18294.0,406.0,75.0,74.0,16.0,28.0,69.0,96.0,59.0,26.0,11.0
