bbl,executed_date
2031430155,2024-10-04
3050840084,2024-10-07
4160020001,2024-10-09
2022690100,2024-10-10
3050840084,2024-10-16
1020160060,2024-10-28
3043690001,2024-10-30
3043690001,2024-10-30
3043690001,2024-10-30
2022690100,2024-11-12
3033340001,2024-11-14
3030240001,2024-11-18
1019840001,2024-11-21
3030270001,2024-11-27
3030260001,2024-12-02
4160020001,2024-12-04
1019840001,2024-12-05
1019840001,2024-12-06
3050840084,2024-12-09
3032940016,2024-12-09
3032940016,2024-12-09
2026200036,2024-12-10
3083290225,2024-12-12
3030260001,2024-12-16
3050840084,2024-12-17
3050840084,2024-12-17
4160010002,2024-12-18
4160010002,2024-12-18
4160010002,2025-01-08
3050880021,2025-01-08
3048680034,2025-01-13
3048530086,2025-01-13
3048530086,2025-01-13
3048680034,2025-01-14
3050840097,2025-01-14
3050840097,2025-01-14
3050840084,2025-01-17
3050840084,2025-01-17
3083290225,2025-01-22
1020160060,2025-01-29
3048710052,2025-01-31
3050840097,2025-02-03
2026200036,2025-02-05
3050880021,2025-02-28
3050840061,2025-03-03
2031430155,2025-03-07
1020370011,2025-03-10
4160020001,2025-03-21
2031430155,2025-03-28
3050840061,2025-03-31
3050840061,2025-03-31
3048530086,2025-03-31
3043690001,2025-04-03
3050870014,2025-04-04
3031700026,2025-04-07
3050830086,2025-04-09
3030250046,2025-04-11
3050840084,2025-04-14
1016830018,2025-04-15
4160020001,2025-04-15
2049050360,2025-04-21
3050870014,2025-04-22
3050840084,2025-04-28
3032740002,2025-05-01
2049050360,2025-05-14
3050840084,2025-06-02
3048710052,2025-06-03
3050840061,2025-06-09
3050840061,2025-06-09
3050840061,2025-06-09
3050840061,2025-06-09
3030250046,2025-06-16
2049050360,2025-06-18
3033250001,2025-06-23
3004010001,2025-07-01
4160010002,2025-07-02
3050840084,2025-07-02
3048680034,2025-07-07
4160020001,2025-07-09
3050840084,2025-07-09
4160020001,2025-07-11
4160010002,2025-07-11
3050840084,2025-07-11
3030260001,2025-07-14
2031430155,2025-07-15
3050850090,2025-07-16
1020160060,2025-07-18
2049050001,2025-07-21
3032740101,2025-07-28
3083290225,2025-07-31
3048530086,2025-08-04
3043690001,2025-08-05
1019840001,2025-08-05
1020160060,2025-08-06
4160010002,2025-08-08
3050840084,2025-08-08
3050840084,2025-08-11
3050840084,2025-08-11
4160020001,2025-08-13
4160020001,2025-08-14
4160010002,2025-08-14
4160020001,2025-08-14
4160020001,2025-08-14
4160020001,2025-08-14
4160020001,2025-08-14
3083290225,2025-08-20
3050850083,2025-08-22
2049050360,2025-08-25
3050840084,2025-09-04
2022690100,2025-09-05
3050840084,2025-09-08
4160020001,2025-09-10
3030270001,2025-09-12
3030270001,2025-09-12
3030270001,2025-09-12
3048530086,2025-09-19
3048710052,2025-09-22
3050840084,2025-09-29
3050840084,2025-09-29
3050840084,2025-09-29
3030720001,2025-09-30
3050840084,2025-10-06
2049050360,2025-10-15
2049050360,2025-10-15
1020120011,2025-10-30
3033410001,2025-10-31
3033340001,2025-10-31
2049050001,2025-11-03
3030240001,2025-11-10
1020160060,2025-11-12
2031430155,2025-11-13
2031430155,2025-11-13
3030260001,2025-11-19
3083290225,2025-11-20
4160020001,2025-11-21
4160020001,2025-11-21
2031430155,2025-11-21
4160020001,2025-11-21
3033340001,2025-11-24
3004010001,2025-11-25
3083290225,2025-11-28
3083290225,2025-11-28
3050840061,2025-12-01
3050840061,2025-12-01
3004010001,2025-12-03
3004010001,2025-12-04
3050840084,2025-12-05
2029310068,2025-12-08
4160020001,2025-12-08
2029310068,2025-12-08
3050840084,2025-12-08
2031430155,2025-12-10
2031430155,2025-12-10
3050840084,2025-12-11
3048530086,2025-12-16
3050840061,2026-01-05
3050830071,2026-01-06
3033340001,2026-01-07
2031430155,2026-01-08
2031430155,2026-01-08
4160010002,2026-01-12
4160010002,2026-01-12
4160010002,2026-01-12
4160020001,2026-01-12
4160020001,2026-01-12
4160020001,2026-01-12
4160010002,2026-01-12
4160010002,2026-01-12
4160020001,2026-01-22
3050840084,2026-01-23
3050840084,2026-01-23
2035930001,2026-02-02
3050840084,2026-02-04
2049050360,2026-02-05
3050840084,2026-02-06
4160010002,2026-02-06
2035980017,2026-02-06
4160010002,2026-02-06
4160010002,2026-02-11
3030240001,2026-02-13
3030260001,2026-02-13
2049050001,2026-02-13
2049050001,2026-02-13
3030240001,2026-02-13
3031700026,2026-02-19
3050840061,2026-03-16
2049050001,2026-03-18
2049050001,2026-03-18
3050840084,2026-03-25
2049050001,2026-03-30
2049050001,2026-03-30
2049050001,2026-03-30
2049050001,2026-03-30
2049050001,2026-04-01
3050840084,2026-04-02
4160010002,2026-04-03
2031430155,2026-04-07
2031430155,2026-04-07
3030260001,2026-04-10
3030260001,2026-04-10
2049050001,2026-04-16
4160020001,2026-04-20
4160020001,2026-04-20
4160010002,2026-04-20
2049050001,2026-04-29
2049050001,2026-04-29
4160010002,2026-05-01
4160020001,2026-05-01
4160020001,2026-05-01
4160010002,2026-05-01
2031430155,2026-05-05
2022690100,2026-05-05
3030270001,2026-05-06
3030270001,2026-05-06
2029310068,2026-05-11
2029310068,2026-05-11
2035930001,2026-05-15
2049050360,2026-05-19
2049050001,2026-05-19
3043690001,2026-05-21
3043690001,2026-05-21
5001960001,2026-05-29
4160010002,2026-06-01
2031430155,2026-06-01
2031430155,2026-06-01
2031430155,2026-06-01
3030720001,2026-06-03
2049050001,2026-06-08
2031430155,2026-06-11
2049050001,2026-06-16
2049050001,2026-06-16
3050840084,2026-06-17
1020160060,2026-06-17
3050840084,2026-06-17
1020160060,2026-06-17
3030240001,2026-06-22
3030260001,2026-06-22
2031430155,2026-06-24
